tier,category,name,organization,role,region,contact,website,what_they_know,what_to_ask,status,notes,email_subject,email_draft
5,Agency — VSR accountability,,St. Charles Police Dept,Municipal police,St. Charles County,,,68 → 358 Hispanic stops (+426%); 22.9% Hispanic arrest rate vs 6.7% white; 6.5% contraband hit rate; never commented,Can you explain the 426% increase? What changed? Why never commented?,,,Request for comment: St. Charles Police Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the St. Charles Police Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to the St. Charles Police Department's own data, submitted annually to the Missouri Attorney General, Hispanic traffic stops rose from 68 in 2020 to 358 in 2024 — a 426% increase. In 2024, the Hispanic arrest rate was 22.9% compared to 6.7% for white drivers. The department has not submitted comments explaining these patterns in the state's annual report. I'd like to give the department a chance to respond before publication.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,St. Peters Police Dept,Municipal police,St. Charles County,,,46 → 266 Hispanic stops (+478%); never commented,Same line of questions,,,Request for comment: St. Peters Police Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the St. Peters Police Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to the St. Peters Police Department's own data, Hispanic traffic stops rose from 46 in 2020 to 266 in 2024 — a 478% increase. The department has not submitted comments explaining these patterns in the Missouri Attorney General's annual report. I'd like to give the department a chance to respond before publication.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Lake St. Louis Police Dept,Municipal police,St. Charles County,,,45 → 153 Hispanic stops (+240%); never commented,Same,,,Request for comment: Lake St. Louis Police Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Lake St. Louis Police Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to Lake St. Louis Police Department data submitted to the Missouri Attorney General, Hispanic traffic stops rose from 45 in 2020 to 153 in 2024 — a 240% increase. The department has not submitted comments in the AG's annual report. I'd like to give the department a chance to respond before publication.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,St. Charles County Police Dept,County police,St. Charles County,,,150 → 386 Hispanic stops (+157%); just signed 287(g) March 2026,Same plus 287(g) implementation questions,,,Request for comment: St. Charles County Police Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the St. Charles County Police Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to St. Charles County Police Department data, Hispanic traffic stops rose from 150 in 2020 to 386 in 2024 — a 157% increase. In March 2026, the County Council approved a 287(g) agreement with ICE. I'd like to give the department a chance to respond and to discuss the implementation of the new 287(g) partnership.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,O'Fallon Police Dept,Municipal police,St. Charles County,,,Nearly flat volume but 3.9× arrest ratio; stopped Victor López Delara case; 59 ICE detainers,Body cam from López Delara stop; policy on ICE contact during stops,,,Request for comment: O'Fallon Police Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the O'Fallon Police Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to O'Fallon Police Department data submitted to the Missouri Attorney General, the Hispanic arrest rate in 2024 was 11.8% compared to 3.0% for white drivers — a ratio of nearly 4 to 1. O'Fallon PD was also the department involved in the widely-reported February 2026 traffic stop of Victor López Delara, which resulted in his transfer to ICE custody. I'd like to give the department a chance to respond to both the broader pattern and the specific case.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Wentzville Police Dept,Municipal police,St. Charles County,,,86 → 159 Hispanic stops (+85%),Same questions,,,Request for comment: Wentzville Police Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Wentzville Police Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to Wentzville Police Department data, Hispanic traffic stops rose from 86 in 2020 to 159 in 2024 — an 85% increase. I'd like to give the department a chance to respond to these patterns before publication.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,St. Ann Police Dept,Municipal police,St. Louis County,,,32 → 275 Hispanic stops (+759%); 32.7% search rate; 29.5% arrest rate; known muni-shuffle destination,Most extreme numbers in the data — can you explain?,,,Request for comment: St. Ann Police Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the St. Ann Police Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to the St. Ann Police Department's own data, Hispanic traffic stops rose from 32 in 2020 to 275 in 2024 — a 759% increase. In 2024, 32.7% of Hispanic drivers stopped were searched and 29.5% were arrested. The department has not submitted comments explaining these patterns in the Missouri Attorney General's annual report. I'd like to give the department a chance to respond before publication.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Ballwin Police Dept,Municipal police,St. Louis County,,,12 → 109 Hispanic stops (+808%); 8.2× arrest ratio,Same,,,Request for comment: Ballwin Police Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Ballwin Police Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to Ballwin Police Department data, Hispanic traffic stops rose from 12 in 2020 to 109 in 2024 — an 808% increase. In 2024, the Hispanic arrest rate was 5.5% compared to 0.7% for white drivers — a ratio of 8.2 to 1. I'd like to give the department a chance to respond to these patterns before publication.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Chesterfield Police Dept,Municipal police,St. Louis County,,,60 → 342 Hispanic stops (+470%); 4.0× arrest ratio,Same,,,Request for comment: Chesterfield Police Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Chesterfield Police Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to Chesterfield Police Department data, Hispanic traffic stops rose from 60 in 2020 to 342 in 2024 — a 470% increase. The Hispanic arrest rate in 2024 was 4.0 times the white arrest rate. I'd like to give the department a chance to respond before publication.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Town and Country Police Dept,Municipal police,St. Louis County,,,6 → 146 Hispanic stops (+2333%); 3.3× arrest ratio,Same,,,Request for comment: Town and Country Police Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Town and Country Police Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to Town and Country Police Department data submitted to the Missouri Attorney General, Hispanic traffic stops rose from 6 in 2020 to 146 in 2024. The Hispanic arrest rate in 2024 was 11.6% compared to 3.5% for white drivers. I'd like to give the department a chance to respond to these patterns before publication.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Overland Police Dept,Municipal police,St. Louis County,,,45 → 76 Hispanic stops; 3.4× arrest ratio; 13.2% search rate,Same,,,Request for comment: Overland Police Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Overland Police Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to Overland Police Department data submitted to the Missouri Attorney General, Hispanic drivers in 2024 were searched at a rate of 13.2% compared to 2.6% for white drivers, and the Hispanic arrest rate was 13.2% compared to 3.9% for white drivers. I'd like to give the department a chance to respond to these patterns before publication.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Creve Coeur Police Dept,Municipal police,St. Louis County,,,+147% Hispanic stops; documented ICE contact policy; First Alert 4 documented a traffic stop to ICE case,Body cam of the documented case; written ICE contact policy,,,Request for comment: Creve Coeur Police Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Creve Coeur Police Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to Creve Coeur Police Department data, Hispanic traffic stops rose 147% between 2020 and 2024. A First Alert 4 investigation documented a Creve Coeur traffic stop that resulted in an ICE transfer, and the department has a long-standing policy to contact ICE when officers encounter suspected undocumented individuals in custody. I'd like to ask about that policy specifically and to give the department a chance to respond to the broader patterns in the data.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Perry County Sheriff's Dept,County sheriff,Perry County (I-55),,,16.7% Hispanic arrest rate vs 2.8% white (5.9×); 16.7% search rate; never commented,Can you explain the arrest and search rates?,,,Request for comment: Perry County Sheriff's Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Perry County Sheriff's Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to Perry County Sheriff's Department data submitted to the Missouri Attorney General, 16.7% of Hispanic drivers stopped in 2024 were arrested and 16.7% were searched — rates nearly six times the white arrest rate of 2.8%. The department has not submitted comments explaining these patterns in the AG's annual report. I'd like to give the department a chance to respond before publication.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Taney County Sheriff's Dept,County sheriff,Taney County (Branson),,,41 → 129 Hispanic stops (+215%); 4.5× arrest ratio; Branson tourism economy relies on Hispanic workers,Tension between workforce reliance and enforcement patterns,,,Request for comment: Taney County Sheriff's Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Taney County Sheriff's Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to Taney County Sheriff's Department data, Hispanic traffic stops rose from 41 in 2020 to 129 in 2024 — a 215% increase. In 2024, the Hispanic arrest rate was 8.5% compared to 1.9% for white drivers — a ratio of 4.5 to 1. Branson's tourism economy relies substantially on Hispanic workers, and Branson PD has also recently signed a 287(g) agreement. I'd like to give the department a chance to respond to these patterns before publication.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Jefferson County Sheriff's Dept,County sheriff,Jefferson County,,,16 → 107 Hispanic stops (+569%); 2.7× arrest ratio; signed 287(g) Jan 2026,Why and what changed; 287(g) implementation,,,Request for comment: Jefferson County Sheriff's Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Jefferson County Sheriff's Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to Jefferson County Sheriff's Department data, Hispanic traffic stops rose from 16 in 2020 to 107 in 2024 — a 569% increase. The Hispanic arrest rate in 2024 was 14.0% compared to 5.2% for white drivers. In January 2026, the department signed a 287(g) Task Force Model agreement with ICE. I'd like to give the department a chance to respond to both the broader patterns and the implementation of the new 287(g) agreement.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Crawford County Sheriff's Dept,County sheriff,Crawford County (I-44),,,18 → 106 Hispanic stops (+489%); 4.4× arrest ratio; never commented,Same,,,Request for comment: Crawford County Sheriff's Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Crawford County Sheriff's Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to Crawford County Sheriff's Department data, Hispanic traffic stops rose from 18 in 2020 to 106 in 2024 — a 489% increase. The Hispanic arrest rate in 2024 was 14.2% compared to 3.2% for white drivers — a ratio of 4.4 to 1. I'd like to give the department a chance to respond before publication.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Moniteau County Sheriff's Dept,County sheriff,Moniteau County,,,23 → 87 Hispanic stops (+278%); 17.2% Hispanic search rate; 2.6× arrest ratio,Same,,,Request for comment: Moniteau County Sheriff's Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Moniteau County Sheriff's Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to Moniteau County Sheriff's Department data, Hispanic traffic stops rose from 23 in 2020 to 87 in 2024. In 2024, 17.2% of Hispanic drivers stopped were searched compared to 6.9% of white drivers. I'd like to give the department a chance to respond to these patterns before publication.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Phelps County Sheriff's Dept,County sheriff,Phelps County (I-44),,,+127% Hispanic stops; 20.7% Hispanic search rate; runs Phelps County Jail (ICE detention),Asset forfeiture history; ICE contract operations; Brayan Garzón death,,,Request for comment: Phelps County Sheriff's Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Phelps County Sheriff's Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

I'm reporting on two related topics that involve Phelps County. First, our analysis of Vehicle Stops Report data shows Hispanic traffic stops by the Sheriff's Department rose 127% between 2020 and 2024, with a 2024 Hispanic search rate of 20.7%. Second, the Phelps County Jail has become a significant ICE detention facility, including the case of Brayan Garzón, the 27-year-old Colombian immigrant who died by suicide at the jail in April 2024, and the case of Mohammad Ali Dadfar, released by court order in December 2025. I'd like to give the department a chance to respond on both the traffic stop patterns and the ICE detention operations.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Greene County Sheriff's Dept,County sheriff,Greene County (Springfield),,,339 → 701 Hispanic stops (+107%); runs Greene County Jail — 237 ICE detainers (most in state),Why the jail contract? Response to SMIA; officer misconduct case,,,Request for comment: Greene County Sheriff's Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Greene County Sheriff's Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to Greene County Sheriff's Department data, Hispanic traffic stops rose from 339 in 2020 to 701 in 2024 — a 107% increase. Greene County Jail has also become the largest ICE detention facility in Missouri, averaging 240 detainees per day. According to monitoring by the Southern Missouri Immigration Alliance, less than 4% of those held on ICE detainers had charges beyond the detainer itself, and most of those charges were traffic violations. I'd like to give the department a chance to respond to both the traffic stop patterns and the jail's ICE operations.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Christian County Sheriff's Office,County sheriff,Christian County,,,80 detainers; has all three 287(g) models; Sheriff Brad Cole,287(g) implementation; what has changed since signing,,,Request for comment: Christian County Sheriff's Office traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Christian County Sheriff's Office's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

I'm reporting on Missouri agencies that have signed 287(g) agreements, and Christian County is notable for having signed all three models. Sheriff Brad Cole signed the memorandum of agreement with ICE on April 16, 2025. I'd like to give the department a chance to discuss the implementation of the agreement, how it has affected enforcement practices, and what the department is seeing since the agreement took effect.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Republic Police Dept,Municipal police,Greene County,,,90 → 444 Hispanic stops (+393%),Same,,,Request for comment: Republic Police Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Republic Police Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to Republic Police Department data submitted to the Missouri Attorney General, Hispanic traffic stops rose from 90 in 2020 to 444 in 2024 — a 393% increase. I'd like to give the department a chance to respond to these patterns before publication.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Neosho Police Dept,Municipal police,Newton County,,,57 → 267 Hispanic stops (+368%),Same,,,Request for comment: Neosho Police Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Neosho Police Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to Neosho Police Department data, Hispanic traffic stops rose from 57 in 2020 to 267 in 2024 — a 368% increase. I'd like to give the department a chance to respond to these patterns before publication.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
5,Agency — VSR accountability,,Carthage Police Dept,Municipal police,Jasper County,,,301 → 691 Hispanic stops (+130%); 19% arrest rate; Chief Bill Hawkins acknowledged ICE presence,Same; Hawkins has been on record before,,,Request for comment: Carthage Police Dept traffic stop data,"Hello,

My name is Tory, and I'm a reporter with Recovered Factory, where I'm one of the founders. I'm working on a story based on the Carthage Police Dept's own vehicle stop data — reported annually to the Missouri Attorney General under Section 590.650, RSMo — which we've compiled into a public database as part of our Missouri Vehicle Stops Report project.

According to Carthage Police Department data, Hispanic traffic stops rose from 301 in 2020 to 691 in 2024 — a 130% increase. In 2024, 19.0% of Hispanic drivers stopped were arrested compared to 7.3% of white drivers. Chief Bill Hawkins has previously acknowledged ICE presence in Carthage. I'd like to give the department a chance to respond to the broader patterns and to update those earlier comments.

I wanted to give the department a chance to respond before publication. Can you help me reach the appropriate person at the department? I'd be grateful for either a phone conversation or a written statement.

You can see the project and the underlying data here:

• https://recoveredfactory.net/en/announcing-missouri-vehicle-stops
• https://vsr.recoveredfactory.net/en
• https://recoveredfactory.net/en

I'm based in the Eastern time zone but can make any time work for you — mornings, evenings, weekends, whatever is easiest. I'd really appreciate even 20 minutes of your time.

Best,
Tory L.
Recovered Factory"
